Product,Varientid,ProductTitle,VariantTitle,ProductPrice,VariantPrice,Product-Compare-price,Variant-Compare-price,Product-Cost,Variant-Cost,Product-Quantity,Variant-Quantity,Product-SKU,Variant-SKU,Recommended-price
3173,3299,Large Dark Blue Ribbon Thank You Cards,1 Pack//,5,5,,,5,5,500,500,TYC-8,TYC-8,9.99
3173,3300,Large Dark Blue Ribbon Thank You Cards,1 Pack//_2,5,5,,,5,5,500,500,TYC-8,TYC-8,9.99
