Product,Varientid,ProductTitle,VariantTitle,ProductPrice,VariantPrice,Product-Compare-price,Variant-Compare-price,Product-Cost,Variant-Cost,Product-Quantity,Variant-Quantity,Product-SKU,Variant-SKU,Recommended-price
2,1260,Silver,Default,2.75,2.75,,,2.75,2.75,0,0,RE-E-01,RE-E-01,11
3174,,def,,3,,,,0.85,,0,,RE-E-RBP-52,,
